x_1 x_2 x_3 x_4 x_5 mu_1 mu_2 mu_3 mu_4 mu_5
0.15 0.15 0.2 0.25 0.25 -4.496794254528465 -4.5761030034828805 -3.9154329269253276 -4.239147026549087 -3.0243320855375275
0.15 0.15 0.25 0.2 0.25 -4.474267742957463 -4.570846050031256 -3.9354888667392887 -4.226439603051228 -3.0310885491148305
0.15 0.15 0.25 0.25 0.2 -4.484345493371534 -4.564808053101872 -3.921117849855051 -4.230506280415885 -3.0472976316357885
0.152 0.2 0.148 0.25 0.25 -4.495896102538158 -4.5637405772624815 -3.902548329598303 -4.252996145543296 -3.0269894907542003
0.152 0.2 0.2 0.2 0.248 -4.476059812456061 -4.562182107879286 -3.9258509459102835 -4.244868462837596 -3.0398957908326816
0.152 0.2 0.2 0.248 0.2 -4.485246685307145 -4.55434995842574 -3.9109627624324204 -4.24794158918126 -3.0529388099239427
0.15 0.2 0.25 0.15 0.25 -4.4514690381635775 -4.555022493216097 -3.942970537437898 -4.22998313127924 -3.045009427016257
0.15 0.2 0.25 0.2 0.2 -4.463715498678569 -4.548947164617657 -3.9286191624953566 -4.234034106548253 -3.0591864322944984
0.152 0.2 0.25 0.25 0.148 -4.474800124473216 -4.543405997276393 -3.9136152953390893 -4.239557857215571 -3.0756631599188275
0.15 0.25 0.15 0.2 0.25 -4.4773692398156095 -4.552388694359662 -3.9143292922838504 -4.257217909626637 -3.0440289492443187
0.15 0.25 0.15 0.25 0.2 -4.4879176480455065 -4.546476851607582 -3.901406446229253 -4.261123547275083 -3.05732280602911
0.15 0.25 0.2 0.15 0.25 -4.456012298691498 -4.547087027713632 -3.9352274361607926 -4.24706098544068 -3.0531030332967473
0.15 0.25 0.2 0.2 0.2 -4.4674064396800635 -4.541278987057518 -3.9205267427319406 -4.250860264484307 -3.0667221018593005
0.152 0.25 0.2 0.25 0.148 -4.476265002236062 -4.535908057153184 -3.9065737408680534 -4.254035154487144 -3.08260079288789
0.15 0.25 0.25 0.15 0.2 -4.443377519522459 -4.53364308843555 -3.9378572261700096 -4.238173197156944 -3.0732548015012924
0.15 0.25 0.25 0.2 0.15 -4.456965523411325 -4.530474316548999 -3.9235370092238777 -4.242908822453687 -3.089732982336443
0.2 0.15 0.15 0.25 0.25 -4.497591413916072 -4.569216575409013 -3.8979868739990318 -4.259586107784799 -3.0226174534055974
0.2 0.15 0.2 0.2 0.25 -4.478660754603568 -4.565103082867261 -3.9170563792129527 -4.253725034466246 -3.0303081723594287
0.2 0.15 0.2 0.25 0.2 -4.485914889178363 -4.5574088313877015 -3.9019237363290644 -4.252829054847121 -3.0423722155353827
0.2 0.15 0.25 0.15 0.25 -4.455380975436657 -4.560647815278255 -3.937761721998152 -4.2426538457991345 -3.0386259369681756
0.2 0.15 0.25 0.2 0.2 -4.465197392573856 -4.554037676920068 -3.9229674180724983 -4.243662149806559 -3.0521216556594184
0.2 0.15 0.25 0.25 0.15 -4.475187758525659 -4.547173877758667 -3.9067118232810447 -4.248253910371786 -3.066811462376025
0.202 0.2 0.148 0.2 0.25 -4.478347640422971 -4.554281515586887 -3.9049293603008866 -4.267245594064494 -3.033512301478694
0.202 0.2 0.148 0.25 0.2 -4.484132291887959 -4.544764807319762 -3.8893316283690638 -4.2657780744652545 -3.045099995049621
0.202 0.2 0.2 0.148 0.25 -4.45893528346025 -4.552105497914181 -3.9290556503120326 -4.258414828068107 -3.044617328872596
0.202 0.2 0.2 0.2 0.198 -4.468396775907845 -4.546378311297124 -3.9154320784019454 -4.2604923029046455 -3.0610115681892025
0.202 0.2 0.2 0.248 0.15 -4.4754945448517365 -4.538392785967795 -3.899142589168492 -4.2623090460892525 -3.075135696730366
0.2 0.2 0.25 0.15 0.2 -4.44633570634637 -4.5400744783154865 -3.9326073695685424 -4.247976111062106 -3.0662634348605855
0.202 0.2 0.25 0.2 0.148 -4.458285688475485 -4.535046204564844 -3.9190902357915 -4.25477001549354 -3.0851600078435273
0.2 0.25 0.15 0.15 0.25 -4.459673664459972 -4.5423398958594365 -3.918188839209046 -4.270983816071991 -3.0498198444081943
0.2 0.25 0.15 0.2 0.2 -4.469787880965536 -4.536442001277448 -3.9037306810280783 -4.272823547232632 -3.064212174643171
0.2 0.25 0.15 0.25 0.15 -4.477200919677588 -4.529375060011657 -3.8897916029913846 -4.27418118272579 -3.07844551289367
0.2 0.25 0.2 0.15 0.2 -4.4510348121686745 -4.531923457956414 -3.923869826542447 -4.264958163947647 -3.074077525432427
0.202 0.25 0.2 0.2 0.148 -4.461118068104046 -4.526542565203724 -3.910184454381406 -4.269609535239972 -3.089888015205121
0.2 0.25 0.25 0.15 0.15 -4.439034987233225 -4.519606999390749 -3.9259210671868403 -4.257600543286695 -3.0968638451808825
0.25 0.15 0.15 0.2 0.25 -4.478363888103931 -4.558608562021061 -3.8990934465154004 -4.272518501573704 -3.026764312929064
0.25 0.15 0.15 0.25 0.2 -4.486328817311421 -4.551379807017849 -3.8857081365374313 -4.273059409832386 -3.0413675156901827
0.25 0.15 0.2 0.15 0.25 -4.4617805095336625 -4.557607689755709 -3.922342804768018 -4.268528254406349 -3.037573936363239
0.25 0.15 0.2 0.2 0.2 -4.4684967213660745 -4.5480216234428 -3.9041697993469966 -4.2672785460260965 -3.0497721431132163
0.25 0.15 0.2 0.25 0.15 -4.475575853646561 -4.540068133591878 -3.8901366605020367 -4.2699809682578715 -3.064520070655749
0.25 0.15 0.25 0.15 0.2 -4.44931494096559 -4.544841625893418 -3.923924813205629 -4.259181884156696 -3.0590300719648886
0.25 0.15 0.25 0.2 0.15 -4.4560591942605825 -4.537717982523236 -3.910378057753016 -4.260273275811203 -3.0742812659990237
0.252 0.2 0.148 0.15 0.25 -4.45946043701502 -4.544572506682329 -3.907943091943224 -4.278822127090845 -3.0412869274712313
0.252 0.2 0.148 0.2 0.2 -4.469432187406568 -4.5383414708599785 -3.8940364895995345 -4.2824072095849095 -3.0547413244029786
0.252 0.2 0.148 0.25 0.15 -4.473324452621353 -4.528579994269168 -3.8783112864539464 -4.279634703912236 -3.066862372687216
0.252 0.2 0.2 0.148 0.2 -4.452717037555778 -4.536831210961228 -3.9181454618613163 -4.276105359735438 -3.066168256914461
0.252 0.2 0.2 0.2 0.148 -4.459691526165306 -4.531315344708708 -3.9048228475404314 -4.275915564273955 -3.084183284389914
0.252 0.2 0.25 0.15 0.148 -4.442293766700483 -4.526530218309842 -3.9219484521593095 -4.269327117639726 -3.0922115186249073
0.25 0.25 0.15 0.15 0.2 -4.452934211579296 -4.526553651427355 -3.9057107233999147 -4.287548566882757 -3.070597669524196
0.25 0.25 0.15 0.2 0.15 -4.462094553596821 -4.522398880697864 -3.89380140393955 -4.288145182512363 -3.087709322752822
0.252 0.25 0.2 0.15 0.148 -4.444514750631296 -4.516795690179759 -3.912224170539669 -4.282779379114905 -3.09788325100411
